Negative Tweet,Negative Score,Cluster
feelingthepain worst kind pain smile keep tears falling dont know feeling,0.553,2
aconmahomie stressed right cant control feels,0.324,0
aconmahomie idiot,0.767,1
mesucksatlife nothing special want help,0.742,1
mesucksatlife dont know like live life,0.297,0
mesucksatlife rather upset lied,0.722,1
mesucksatlife cuts dont remember ones cant help,0.471,2
mesucksatlife thats upset,0.565,2
miss awill stayed clownin,0.348,2
less people chill less bullshit deal,0.412,2
yall steady roasting girl forgetting white folks shoot schools,0.231,0
people take time hack computer dont even patience solve rubiks cube,0.137,0
mjamal woulda lost room,0.434,2
selesteolivas thatonegirlsyd always lying,0.531,2
omgitamg think back high school nobody could shit getting roasted javonkdl daddyrodge spencerei,0.231,0
omgitamg javonkdl daddyrodge spit damn nose laughin hard,0.406,2
stuffing nasty people slop,0.545,2
krampus gotta dumbest looking movie years,0.398,2
another niggas,0.706,1
hell football squares,0.697,1
romo always getting hurt,0.531,2
erikt daddyrodge looking rick grimes season type shit lmao,0.361,2
looking isis fuck,0.636,1
drugswisdom homie keeps playing around serious fuck,0.453,2
mcdonalds worse weed,0.608,1
gotten much trouble possessing plant nigga lincoln used chief daily,0.231,0
cant believe weed still illegal,0.474,2
wasnt playing,0.614,1
miss girl gonna house sleep poodle,0.242,0
uberfacts research found lonely people superior social skills compared people arent lonely,0.286,0
javonkdl lmao hell,0.484,2
javonkdl aint seen like year havent seen social networks,0.209,0
dory family roasting thanksgiving dinner grandma steps says leave alone,0.286,0
pray boosie rapper revealed instagram today diagnosed cancer,0.346,2
worldstarfunny savage,0.75,1
anxiety bitch,1.0,1
still pissed,0.808,1
gronkordie fuck game refs killed momentum patriots,0.615,1
intricateenigma fuck refs fuck commissioner fuck buffalo bills,0.677,1
shit heated,0.783,1
pissed robbed touchdown fuck bills refs,0.658,1
jaseface daddyrodge wont grand chirren goot eyebrow herro prease,0.237,0
mrgoham scrolled feed couldnt find look salvadorian murdered street shit like,0.432,2
erikcu hell seen shit dont even flinch anymore cause many people post typa shit,0.518,2
true patriots hate ones hopped bandwagon within last years yall aint fans,0.224,0
feels damn late,0.574,1
verocaldy shit sell yamaha want electric time soon,0.33,0
nogoodbrison hate someone knows theyre attractive ugly give compliment alight monkey looking,0.333,0
think whos never liked rain,0.368,2
bitch done lost mind,0.753,1
fights start,0.73,1
birth certificate finally fuck,0.538,2
cidoku solazz pendantkun said depressing depressed,0.596,1
cidoku solazz pendantkun depressing read,0.394,2
nuen ssmangos missing,0.524,2
thing isolate,0.643,1
frick snow couldnt agree,0.413,2
joeyoe hate anchovies general would pizza,0.425,2
joeyoe hate anchovies general would pizza,0.425,2
whats least favorite pizza topping anchovies,0.332,0
people hating pineapple hilarious,0.412,2
maidotsuki damnit fell bait,0.531,2
shit seen shimakaze crossplayers,0.545,2
softhomura selfish every often,0.508,2
softhomura dont think privileged make every issue presents issue much bear,0.194,0
softhomura hate pretty much dont trust posts anymore fakes people make notes uuuhhhhhhh,0.43,2
whats favorite movie kill bill,0.439,2
softhomura hate could give example really curious,0.328,0
softhomura guess unfollow people dont delete youll probably regret later,0.237,0
softhomura urge done couple times time regret sooo,0.286,0
bdsmmate girl says shes experimented girls doesnt always mean shes bisexual evil scientist,0.268,0
joeyoe solazz endured much worse,0.437,2
truck sucking shit sewer since loud leave already,0.444,2
makes shitty people shitty failure communicate going behind back,0.636,1
nuen ssmangos stop trying redirect,0.355,2
ssmangos nuen something like wanna suck fluster dont want cute fluster,0.41,2
nuen blind,0.73,1
abandons morning girl,0.535,2
magnummagpie tired read wrong whoooops ehehe,0.6,1
temperature supposed fuck weather,0.538,2
cosmiclin pendantkun ennuist hard,0.318,0
satsukitv think place would place thief,0.405,2
vividgrim well unhappy displeasure completely work mean,0.283,0
fawky seriously though stuff,0.362,2
cosmiclin steam kill,0.701,1
aartorias sick yeah,0.508,2
please rememberawareness preventionampdiscussion sexual assaultampchild sexual abuse shouldnt awareness month ends,0.271,0
unless audience member public disturbance levelu knowive heard people still performing worsedeal offstage,0.178,0
think stopping performance rude unruly audience member would distracting someone texting,0.459,2
scienceporn physical illnesses treated like mental illnesses,0.496,2
liar liar inexplicably plays french happy tonight french isnt used,0.361,2
laurabenanti refuse pair shoes cant away someone,0.268,0
broadwayworld gentlemans guide love murder kick national tour september schedule,0.278,0
danagould someone life particularly hate kids kazoo,0.4,2
really fucking depressing,0.613,1
foxygrandpa barnacles hate pill,0.552,2
sodamntrue youre sarcastic someone asks youre serious,0.398,2
samanthac game bitches,0.661,1
bitch think,0.792,1
hate phones still whole damn ride home school,0.516,2
knew coming nothing could prepared menot casey lincolnyounes channeltv homeandawaytv homeandaway,0.143,0
overloadgen josephdevries nope sure unicorn,0.329,0
doesnt like fleur yawn xfactor,0.345,0
edsheeran devastated hear katie passed away prayers family,0.364,2
allthxngsozzie omfg wouldnt time anything drop dead,0.387,2
allthxngsozzie knew youd miss,0.348,2
allthxngsozzie unfortunately,0.706,1
makes tweet cant wait ozzie lmao,0.386,2
wearing shorts school time hyperventilating hate freaking legs made body positivity post last night,0.312,0
keybladetroyler sounds like people going broken windows tonight,0.267,0
stupid fucking mouth able make youtube videos,0.362,2
allthxngsozzie literally selfies really badass quote along sucks,0.423,2
made worlds longest instagram post body figure regrets even ones gonna read,0.185,0
troyleraholic extroylerverted cant join something youre already part,0.212,0
allthxngsozzie going start stop buying glue,0.306,0
twitter update horrible reply thingy gone,0.412,2
seriously life,0.63,1
watching phills first sims video mentioned sebastian black butler screamed,0.204,0
pounding headache seriously going scream hurts,0.714,1
hate moms like gave birth blah blah blah look like asked bring shit hole,0.489,2
finally moms back shell give pills head stop hurting stop shaking yayy,0.524,2
doritotilly someone hate laugh actually think nice youre bitch,0.397,2
extroylerverted troyleraholic kinda dumb think kinda close fulton,0.3,0
troyleraholic worth sucks hard,0.574,1
need sleep something like draw fake slits mouth lipstick eyeliner,0.228,0
listening screaming rock music head ache bright,0.43,2
allthxngsozzie even alive theyd mind works dead either,0.333,0
allthxngsozzie theyll never take alive,0.353,2
spent past minutes screaming everyone window muffin,0.302,0
swear another human pronounces name kaylie going scream,0.394,2
troyleraholic idkk fate wait long meet cruel,0.388,2
band concert fuck,0.636,1
google tyleroakley thats called complete weirdo,0.359,2
really tired feel like going throw nurse wont anything,0.246,0
tired might walk,0.592,1
tired cant sleep,0.592,1
tried start youtube video camera died used camera died,0.507,2
literally crying,0.756,1
weak,1.0,1
veganrevoiution drippinglotus mowing grass killing many innocent blades grass equal animals screams,0.367,2
veganrevoiution drippinglotus fucked asked justify answer besides guesslike,0.386,2
veganrevoiution drippinglotus would like dead present instead flower someone theyre equal right,0.256,0
veganrevoiution drippinglotus fake yogis make confused,0.574,1
yungkundalini like outraged lion eating bacon cheeseburger,0.318,0
ethangarofolo luvlylayy veganism cecil killed treated property vegans extend animals,0.317,0
officialwillow zoos illegal,0.643,1
soylent dreamt food pill would take cooking shopping ordering anxiety away google found,0.124,0
rickygervais simmoa scary psychos walk among disguised normal people,0.431,2
rickygervais food shooting cans would must thrill killing mental,0.317,0
rickygervais trophy hunting poaching torture festivalsit seems like losing battle lets fight,0.552,2
justinshanes wait upset lion hear millions factoryfarmed pigs chickens cows daily look,0.191,0
nickbayside things know wrong,0.508,2
theveganqueen someone threw puppy ground wrong piglets head slammed concrete floors,0.237,0
theveganqueen someone hurt kitten wrong hope chicks ground alive thats,0.361,2
specifically amount women dont understand freethenipple equality quite alarming,0.183,0
amount people dont understand freethenipple really alarming freethenipple pornography,0.183,0
rickygervais fuck torturing bull death entertainment filthy barbaric scum banbullfighting,0.564,2
dabmandan whiskeyhippie freethenipple change wrong boys show whys wrong girlswatch freethenipple,0.408,2
followyourheart veganfoodchat grilled tease veganfoodchat,0.365,2
speaking exhausting communication telepathically understand thoughts,0.333,0
kvttycat think ignoring make correct,0.403,2
urholeismygal veganrevoiution people naive close minded,0.296,0
mittengirlxo idgafclaire milk machines giving calves milk away humans whilst stealing calf whole problem,0.323,0
mittengirlxo veganrevoiution something already dead doesnt make right lookup supply demand youre creating demand,0.374,2
cher something crazyi cant believe candidates shot officewant gops shoot,0.211,0
augusten sometimes writing miss seeing buddy list window corner screen,0.151,0
yoifeellike crying potato,0.608,1
kind exhausting ignored whenever talk something supposed forget repress instead,0.52,2
report arbys vegetarianhelp line absolutely retarded,0.444,2
lionsmercy horse collapsed charleston yesterday reportedly spooked want banhorsecarriages http,0.184,0
libra right accurate scary,0.516,2
took seconds stop start,0.423,2
fuck facts fact unicorn horn shoots rainbow flames pisses cake batter shits gumdrops,0.474,2
seriously wanting effort,0.459,2
goodies taylor books charleston books geek plushies,0.231,0
mkatween sorry nosebleeds pain,0.697,1
addicted bread kittens regrets,0.455,2
appeal international federation journalists ifjasiaapacific cpjasia constitute fact finding mission probe killing senior anchor person investigative journalist arshadshareef case unlike many journalists murder unnoticed,0.293,0
saddens like months still famous,0.345,0
hate house live,0.649,1
seriously rejoining training like crazy amount weight gained last weeks shocking,0.38,2
pissed,1.0,1
thing relationship dont text like texting pisses,0.474,2
scary movie life complete,0.516,2
elledejesus problem,0.73,1
people confuse instagram much,0.388,2
terrible women supposedly developed country world resort measures,0.307,0
kinseyinstitute support legitimate study human sexuality counter myth prejudice inform world sexresearch,0.206,0
goodbye facebook twitter obsession come back full swing,0.255,0
independent hivpositive person watched charlie sheen controversy unfold sadness horror,0.452,2
amnestyuk callous attacks paris beirut elsewhere ever time stand human rights,0.225,0
potus slamming door face refugees would betray deepest values thats going,0.264,0
mental health early deaths worrying,0.375,2
noone forced public status great want never forced,0.39,2
reinabits people kept telling direction going gonna flop left band bbmas,0.194,0
bertshowbert nickiminaj performance night would slide hips scream weeeeeeeeeee bbmas,0.231,0
zacktremblay nothing better talented singersongwriter pouring heart stage edsheeran every,0.39,2
seventeen yyyaaaaassss onedirection killing tonight bbmas,0.468,2
isthatluccas shes annoying repeating shes married,0.351,2
michaelsos dont feel well today sniffles,0.266,0
louistomlinson jimmybullard seems missed call mate,0.306,0
mini terrier treadmill goes crazy sees turn,0.286,0
second mental breakdown week least time actually worrying things even though pointless,0.179,0
femalepains forever stressed emotional piece shit,0.566,2
always upset dont talk friend several days,0.511,2
lifehacks handle stress,0.583,1
unfocused today reason,0.574,1
bored right,0.677,1
several hours later pain swelling knee hasnt even subsided slightest hurts,0.416,2
pain knee right want,0.5,2
fuck shoes wear jrotc uniform driveway sheet shoes traction fell hurt knee,0.408,2
awkwardposts wanna nice person everyone stupid,0.333,0
level boredom reached point checking three websites literally every minutes,0.197,0
snape hate mondays almost much hate umbridge,0.597,1
cant believe plum actually something right already cancelled school tomorrow,0.182,0
dont think friend amused complete smartass,0.729,1
worst headache ever right,0.577,1
need desperate advice right,0.434,2
must always bored mind,0.412,2
sadness fills soul,0.592,1
informal poll warpedchyld shmeards fuck boys money means forget boys accrue wealth instead,0.29,0
fifty shades grey advertised stops public areas children,0.182,0
omron hemc manual inflation blood pressure monitor,0.268,0
lower back pain radiates left,0.647,1
avoid headaches fasting,0.524,2
freezing prescription pill drug likely make ineffective,0.367,2
sign prone depression andor commit suicide,0.612,1
back problems herniated disc diagnosed working december injured,0.474,2
could cause nausea vomiting diarrhea fatigue,0.286,0
meds tshirts life crap cotton short sleeve adults shirt,0.245,0
steps heal grief help ones child heal,0.294,0
ways dealing depression without doctors prescriptions,0.425,2
depression suicide,1.0,1
back pain understood cuttingedge approach healing back,0.355,2
lower back disc pain question,0.647,1
steps heal grief help ones child heal,0.294,0
high blood pressure awareness ribbon mouse,0.306,0
treatment disc problems reversal cervical lordosis,0.351,2
pain free revolutionary method stopping chronic pain,0.566,2
teen depression suicide,0.891,1
someone help back pain,0.412,2
headaches sign high blood pressure,0.355,2
dealing stress depression club connect video,0.619,1
alternative health herbs remedies headache tension pain ounce bottle,0.444,2
damage piriformis muscle bulging disc,0.444,2
information symptoms severe depressionsuicide,0.464,2
important people life prone depression,0.435,2
symptom difference btwn diagnosed middle back disc herniations kidney infections scared,0.225,0
last night migraine headache couldnt help math homeworkshe finished,0.22,0
taken cluster headaches besides immotrix relieve pain,0.306,0
anyone need talk someone depression committing suicide anyone needs talk,0.497,2
online chat room dealing postpartem depression,0.425,2
weight loss surgery adjustable gastric band everything need know surgery,0.204,0
high blood pressure,0.524,2
concerned steroid injection lower back disk herniation,0.268,0
anxiety phobia workbook fourth edition,0.589,1
suicide mental health polar depression near death experience,0.708,1
causing vertigo attacks,0.592,1
hidden dangers drink lifelong guide healthy living,0.294,0
fastest treatment remedy tension headache,0.365,2
stop getting nausea stomachache,0.423,2
anyone unique dealing depression,0.552,2
reading wondering problem still concussion migraines,0.351,2
treatment migraine nonstop leads panic atks memory loss depression,0.608,1
ease back pain without drugs,0.375,2
hate,1.0,1
thing worse people hashtags facebook people dont even know hashtag,0.256,0
good liar,0.532,2
hate little alarm clock head wakes school even break,0.453,2
teensmsgs something weird thinking single,0.298,0
sawapuuwiii luke bryan shake meee,0.298,0
knew trouble walked shame flew places never lying cold hard ground,0.344,0
aylalaroe rapist going find number track,0.48,2
kaylamcdonald turn admit might tattoo crazy,0.293,0
never knew anything could longer dick iphone awkward,0.45,2
crazy number heres maybe call,0.358,2
titsonatrolli maybe insecure relationship,0.483,2
titsonatrolli marry someone attractive kids face going seriously pissed,0.399,2
maddywright hearts broken everyday,0.508,2
would shoot forehead unfollow last tweet,0.324,0
titsonatrolli someone accidentally touches butt sorry look right eyes dont,0.316,0
samuelosuba miss toooooo sadtweet,0.348,2
awkward wuhhhhh,0.615,1
show catfish ridiculous actually intrigued,0.385,2
werejustteenss fuck texting want,0.515,2
want listen song thrift shop tcodere hates doesnt want good life angrytweet,0.334,0
helps cover past sorrow depression,0.607,1
people longer sentences drugs mean least youre hurting,0.273,0
fucked,1.0,1
screaming toddler thought screaming public wrong,0.735,1
forced half chinese food make minutes later starving,0.492,2
last hours entire pizza giant burger fries chinese menstrual cravings gonna make broke,0.189,0
jmckenty canada fears photo prime minister pandas could worsen american refugee crisis yorker,0.505,2
talked lovingaccepting peoples flaws hard entrust someone theyre judging parts,0.135,0
damnit pick john cleese book didnt want spend money,0.398,2
damnit pick john cleese book didnt want spend money,0.398,2
bairdal thesilentg must never come pass entire world would shame,0.256,0
cats master manipulators guilt right behind moms catholics,0.231,0
thesilentg like shitty vespa,0.444,2
thesilentg fine villain gets neck beard metal fedora,0.316,0
tried make mondrians composition yellow blue lego family laughed suffer name,0.226,0
scared accidentally knocking roll tape anyone wondering tough,0.576,1
pissed seems default maybe inner bitch finally developed maybe people fucking suck,0.554,2
decided stop cats meds stressed gets personality gets ability cope,0.331,0
holliloki sciencealert wish could control mosquitoborne viruses kill bats,0.326,0
working hospital floor havent worked ages like coming home,0.209,0
threehares threehares sweater wants poncho cant commit thanks nickcalder clearing,0.349,2
send back hell,0.697,1
slit goes armpit defeats purpose sweater called drafty muffintop enhancer,0.204,0
looking work sweater ended damn hell,0.646,1
seriously tries white clothes spray,0.298,0
devised solution people complaining ghostbusters reboot wont good original stay home watch original,0.441,2
tired slept till still cant together,0.367,2
body playing game called headache migraine hungry losing,0.25,0
andrewctenor dont know best popular parties threehares mrscrysnich attest,0.396,2
paulwesson cant help awkward,0.396,2
words describe proud ethan getting salesman vern eide works hard hell,0.351,2
nothing says hello monday waking feeling like shit,0.286,0
puck sick,0.767,1
love tired hell cant sleep,0.547,2
boettcher bitch,0.792,1
nothing makes mondays better monday night football,0.286,0
always wrestlers want fight,0.441,2
fuck charliebrown whole snapchat story,0.467,2
room messy cannot,0.556,2
cant wear hear carletonu accepted wait killing,0.383,2
addictioncanada belief behavior others must controlled means vulnerable behavior,0.192,0
trazmanian devil help sleep tonight sick monday,0.535,2
assholes catsofinstagram,0.792,1
cfraottawa ottawa police asking public help violent assault vanier ottnews,0.443,2
ottawasuncom charlie hebdo killers take hostage cops surround factory france charliehebdo,0.301,0
cnnbrk least gunmen charliehebdo attack paris prosecutor says,0.307,0
cnnbrk killed hurt charliehebdo shooting prosecutor says gallery victims,0.63,1
anxietyottawa anxiety blogs,0.459,2
nothing like meeting funny videos youtube start soberlife,0.429,2
rise shine depression anxiety wont stop today bellletstalk healthyminds,0.406,2
room messy cannot,0.556,2
cant wear hear carletonu accepted wait killing,0.383,2
addictioncanada belief behavior others must controlled means vulnerable behavior,0.192,0
trazmanian devil help sleep tonight sick monday,0.535,2
assholes catsofinstagram,0.792,1
cfraottawa ottawa police asking public help violent assault vanier ottnews,0.443,2
ottawasuncom charlie hebdo killers take hostage cops surround factory france charliehebdo,0.301,0
cnnbrk least gunmen charliehebdo attack paris prosecutor says,0.307,0
cnnbrk killed hurt charliehebdo shooting prosecutor says gallery victims,0.63,1
anxietyottawa anxiety blogs,0.459,2
diagnosed pcddpost congress depression disorder highly contagious maybe even lithal,0.565,2
school like world alliances enemies violence cant grow right,0.462,2
stop fighting please,0.671,1
lazyitalian whats risk,0.512,2
also said large amount people said spam blocked block thats issue benicepeople,0.455,2
find disturbing account suspended followed many people short amount time like come twitter,0.339,0
aaahhg account freaking,0.583,1
hell even kids bullied yourallbeautiful,0.744,1
michaels dick calum calumsos michaelsos sosfam,0.398,2
shes kinda comes radio internally freak sosfam,0.326,0
calumhood secret wonderland actually obsession bampb,0.324,0
crying fuck alltimelow,0.868,1
justaradict screamed alexalltimelow walked coffee shop,0.315,0
thought alexalltimelow gonna show freaked wasnt thank wasnt ready anyway fangirlmovie,0.305,0
freakout every time fangirlmovie commercial comes justaradict alexalltimelow jackalltimelow,0.259,0
saucegibbons hemmo penis size related shoe size makes fear raped clown much,0.438,2
lukesos snap story disappointed guys,0.437,2
sosfamupdates ashton saying bubbles angriest possible heyerika,0.406,2
massive wrapped around finger fuck michaelsos,0.412,2
right really bored want pizza,0.343,0
aussie fans back fuck boys break damn seriously dont need shit sosfam,0.42,2
nickjonas puts hell show,0.605,1
nickjonas concert michaelsos jealous,0.5,2
insane like pain like halsey,0.5,2
seeing nickjonas saturday michaelsos jealous,0.429,2
casually singing horribly broken pieces sick want,0.662,1
michaelsos seriously,0.63,1
ashtonsos unistudios horrornights hate break babe arent even chains chainsaws cant hurt,0.225,0
seriously need kill bitches,0.912,1
michael girl lately lukes lane dont like emotional make stop,0.451,2
listening suck abigail breslin michaelsos,0.42,2
nlntendomuke michaelsos dude drive manual stalled many times first pissed,0.429,2
michael gets lisenceeveryone road thinks live version mario kart hell throw turtle shells michaelsos,0.261,0
thingsthesosfamdoes fangirls hard times,0.318,0
thingsthesosfamdoes jams hard,0.412,2
thingsthesosfamdoes hate someone hates ready kill bitch,0.77,1
thingsthesosfamdoes freak whenever song comes,0.42,2
michaelsos dude chill wants touch shit,0.419,2
genevieveverso misslusyd though descended illegal moonshine makers dunno ended lightweight,0.286,0
genevieveverso paige arent right dont michael helping dinner helllllp,0.191,0
genevieveverso misslusyd shardfox else scared cinnamon roll,0.326,0
genevieveverso misslusyd shardfox never best twitter friend,0.545,2
ugly christmas cookies priddy family tradition,0.398,2
messed cookies accidentally putting extra sugar shes mother delighted kitchen,0.318,0
dadoberdog didnt today warm,0.357,2
miralurks scare much giant mosquitos,0.444,2
hate giant bugs always giant bugs,0.425,2
misslusyd azarkansero thefuxedos ouch even cruel,0.432,2
misslusyd azarkansero thefuxedos look dirty shakespeare contest take damn crown already,0.384,2
azarkansero thefuxedos itoh shit,0.545,2
away sister succeeded getting hancock companion stealing outfit,0.296,0
shouldnt treated like especially since jobs,0.297,0
stressed coworkers mental well seriously years known never seen,0.336,0
sick perceived anything everything told drives insane,0.545,2
seriously tried hardest everything done damn list time extent,0.386,2
anyway boss made coworker pissed beyond belief,0.412,2
ughhyeah shit,0.783,1
poor cleaning lady,0.608,1
retail hell extra hellish today wheee,0.688,1
yeah live tweeting sisters failures exhaustion weird feelingness,0.537,2
news feeling really weird,0.363,2
train wreck dooooing,0.592,1
wasteland turns life crime doodlethebug,0.467,2
yeahim gonna attack drug deals doodlethebug,0.383,2
sisters gardening obsession making live tweeting session quite dull doodlethebug,0.403,2
misslusyd genevieveverso azarkansero nothingalarming shocked gasp,0.315,0
doodlethebug worst,0.804,1
azarkansero genevieveverso nothingalarming misslusyd thefuxedos shame recoverable,0.341,0
genevieveverso nothingalarming misslusyd thefuxedos damn confuse order names,0.434,2
misslusyd genevieveverso thefuxedos take blame,0.375,2
thefuxedos misslusyd stop becomes unreversable,0.355,2
wouldnt funny things popped land secondmiralurk pops outsister screams,0.397,2
azarkansero thats probably considered terrorist attack thinking,0.609,1
jenwin broke girl left toothpaste know synth diamond city guard,0.212,0
azarkansero ponies arent gonna help unless want distraction,0.435,2
retail hell someone send help,0.447,2
professorotaku beginning look alot like fuck,0.35,2
miss actually excited christmas retail ruined,0.465,2
talizorah almost trying read stop pouncing,0.279,0
drives insane seriously,0.815,1
cafeteria also charges extra transactions hence limit would make money purchase card,0.16,0
explain would make money transaction bank fees damn high,0.252,0
genevieveverso thefuxedos nevermind deleted feed lying,0.405,2
genevieveverso going home today early crap tomorrow,0.302,0
genevieveverso maintain almost hell trying check dates,0.418,2
gilbyranger theres nothing like owner waking scrub barf carpet isnt something trade,0.161,0
record didnt teach actually gets upset dont throw toyponytail holderpe,0.224,0
something drank something took meds head still hurts guess destined miserable,0.412,2
damn forget couple favorites album kanye always playlisttil yeezus,0.343,0
life sometimes ridiculous,0.556,2
damn another broken heart keep bitches nigga noahs,0.66,1
djenuff manny pacquiao crossing fingers future fight floyd mayweather,0.245,0
saya mind terrible thing waste,0.663,1
damn,1.0,1
lemme real quick sleep shit,0.474,2
beat constant failure wasnt made,0.452,2
djenuff denver broncos player tries dodge police hiding thatsenuffrecap crazy,0.365,2
habits hard,0.583,1
djenuff louis cardinals player killed dominican republic,0.429,2
change begun muhfuckas never loved remember,0.386,2
comin back worst behavior,0.577,1
tonimariex gotta stay high time forget missing,0.451,2
alixalive fuck yeah moved theres significant difference,0.304,0
comeback denied phivsaz,0.592,1
iamkinglos yessss megtgtgtgt waiting fire like since crown aint safe moves comin,0.295,0
seriously frustrates fucking much college football players jogginghustle ball,0.397,2
texas fucked,0.815,1
jersey whores thepurge,0.667,1
wanna state straight couldnt care paying attention still wanna,0.228,0
frustrate shit outta times,0.767,1
nylesb every accident theres warning,0.647,1
niggas bout extra scruffycome fellas dont forget noshavenovember right,0.217,0
damnit betty white,0.63,1
gotta learn lose fairy tale concept expectation life,0.278,0
never thought sober living isnt dream goal means change simply elevated living,0.137,0
dont like movie ninja assassin dont love life,0.477,2
caitygallz duhhh niggas outcheaaa eatin fuck shit yadigggg,0.655,1
tomorrow appearing daily drum discuss rise suicide black youth blacklivesmatter,0.333,0
currie said knows well pains bullied school said classroom safe,0.385,2
reading adrian tweets rants noone notice,0.315,0
alyssahilderman fail forgot sleepover,0.538,2
youre tired cant fall asleep obnoxious needsleep sotired,0.255,0
jdgaz killing daily killing john owen,0.688,1
pretends shocked,1.0,1
cute fuck,0.538,2
starboy aida tiana vxidlydia insane grimes vine xscartress,0.439,2
andrearussett person ways tried kill sadness,0.655,1
shelleyhennig dead,0.811,1
katmcnamara badass girl power right clizzy back vengeance shadowhunterstv shadowhunterschat emeraudetoubia,0.138,0
wrong didnt come like,0.723,1
lydiamcrtins well tell yall thing sure hell wasnt,0.329,0
real eyes realize real lies,0.412,2
lydiamcrtins shower tell stop,0.423,2
months since shannara finale aired tired literally news surface,0.266,0
hard show,0.583,1
naesheims miss,0.615,1
jugheadjomes yall stop salty realistic resolutions,0.306,0
camiiamendes stop thought taylor lfmoaahsh,0.355,2
lydiamcrtins shut fuck,0.636,1
havent talked yall since last yeardoesnt drive crazy fast night changes,0.194,0
last selfie call look theres alcohol house fuck,0.333,0
east coast vine dead,0.589,1
iriswestaiin casstims choke stop talk scene wasnt gonna bring,0.449,2
jillboard diary bday witch bday bday still witch witch starting worry,0.598,1
lose everytime tweet cryign,0.474,2
realized said hates exactly said matts tweet,0.326,0
cameronhoodkin stop bonding steezy,0.423,2
fiimart lose days,0.574,1
pondandrory allie text spamming amazing gonna fire station talking,0.359,2
lydiamcrtins shamelessly screenshotting,0.545,2
knobbitch reminder regardless whether hold liquor drinking driving shitty could kill yourselfsomeon,0.454,2
stop know,0.688,1
iriswestaiin producer think yikes listen still waiting vain series,0.259,0
stop budget maximum ride movie netflix,0.306,0
dovecameron learning steal magic magic matter long someone hold cant,0.26,0
halsey internalized misogyny insane hate girl different nervous means better,0.489,2
halsey angel fire,0.545,2
adclaidekanes brother actually crying,0.508,2
hello year finale still fucks,0.437,2
weak direct call back told love weakness,0.41,2
maliabama type tweet complaining problems realize specific anyone relate,0.391,2
barely speak throat closing need money called feel awful,0.273,0
want spend eons clarke griffin ibac emilias bastard vine hellaheda,0.273,0
jilihoitzmann post gleaming hope goddamn bitch unsatisfactory situation,0.466,2
dearjohns stop knwo,0.524,2
cwriverdalenews leaked riverdale script draft october right pilot radically,0.223,0
pondandrory adclaidekanes gonna kill,0.61,1
dunathema youre iconic getting involved drama every youre annoying,0.252,0
arianagrande xxtirzajessxx fighting important conversation loud need,0.269,0
arianagrande xxtirzajessxx thats thing women expressing sexuality often mistaken come disrespect thats,0.346,2
dearjohns harry alive yall burn alive cruficy draco dick racist yall either mute poor baby,0.406,2
cameronhoodkin fucked tyler second voice also fourth,0.423,2
absolutely didnt sound like sprayberry,0.372,2
fuck confrontation scene still best yall hear,0.414,2
dramatic real tears,0.487,2
cameronhoodkin trying fine messages couldnt pressed good vine approve,0.215,0
quality isnt great audio,0.523,2
wallswcst deadass annoying ship also didnt like either charas either agdjsjaj,0.348,2
lydiamcrtins stop know,0.524,2
wallswcst stop runnin,0.524,2
naesheims pick poison vine mysticonce,0.467,2
cameronhoodkin godogooddkdk hate thsi,0.552,2
hamillhimself words devastated,0.667,1
isikbreen honor carrie fisher normalize mental illness treatment take life little less seriously destroy fascist,0.434,2
alexsdanvers drowned moonlight strangled,0.787,1
didnt make wish made wish,0.601,1
embeedub carrie fisher much shit female getting older gaining weight bipolar still kept sense,0.196,0
cute fuck,0.538,2
fuck,1.0,1
third tired played knew still,0.349,2
adclaidekanes superior blake obviously someone opposite scene transition pissed,0.286,0
wait really worded tweet wrong dont screenshot yall know would fuckin never,0.234,0
dovecameron jesus died glinda would given chance,0.34,0
ramimahlek yall think possible criticize show stan thats,0.271,0
katmcnamara days characters cannot wait share season angels shadowhuntersseason,0.191,0
dlckroy mfin nutttt bitch,0.559,2
naesheims miss,0.615,1
brothers entire avatar last airbender series almost cried,0.248,0
exhausted finish thread work tomorrow goodnight yall,0.294,0
adclaidekanes theres many good ones really dead inside,0.34,0
fell asleep anyways flop anyways,0.375,2
fight stay awake long enough dinner,0.342,0
beiiamysmorley writers lets make entire episode bellamy freaking ever losing clarke writers,0.351,2
adclaidekanes fucking keep reblogging dctv ladies week posts tears,0.192,0
adclaidekanes fucking keep reblogging dctv ladies week posts tears,0.192,0
know laurel thea siblings deserved wouldve died,0.375,2
selenvacarter read somewhere speak children becomes inner voice stress crucial,0.237,0
iriswestaiin damn gotta piece,0.474,2
adclaidekanes hell hell,0.902,1
hamillhimself couldnt worse sending love carrieffisher,0.339,0
continues fail,0.778,1
definitely wanted scotts cheating abusive back,0.578,1
carrie fisher reportedly suffered heart attack flight friday,0.512,2
dont stuff dylan bella leave alone,0.444,2
literally couldnt care less gossip yall lose heads everything leave tyler,0.43,2
know year anniversary moms death likely gonna stay silent,0.328,0
stop putting interview,0.524,2
spencersjareaus spencersjareaus much pain stabbed still wanted save even thougj,0.378,2
yallomg stop pushing shelleytyler agenda literally steady boyfriend,0.239,0
candicekp much behind line line wasnt original script,0.219,0
everything seems hopeless become helpless time pause pray turn allah make,0.368,2
devastating earthquakes turkey syria killing injuring thousands people survivors urgently need rescue medical shelter blankets food today launching turkeysyriaappeal donate help save lives,0.242,0
